Bucket,Race,Class,Action,Variant,Loop,AssetName,Url,FileSizeKB,MeshCount,SkinCount,BoneCount,TotalVerts,TotalTris,TextureCount,TextureKB,BBoxW_cm,BBoxH_cm,BBoxD_cm,AnimDurationSec,AnimChannels
animations,barbarian,mage,cast,B,once,mage_11_cast_B,/models/gltf/animations/barbarian/mage_11_cast_B.glb,23.1,0,0,0,0,0,0,0,,,,1.333,22
animations,barbarian,spearman,attack,,once,spearman_07_attack,/models/gltf/animations/barbarian/spearman_07_attack.glb,21.7,0,0,0,0,0,0,0,,,,1.333,20
animations,dwarf,generic,idle,,loop,_idle,/models/gltf/animations/dwarf/_idle.glb,32.2,0,0,0,0,0,0,0,,,,3.333,17
animations,dwarf,cavalry,idle,,loop,cavalry_01_idle,/models/gltf/animations/dwarf/cavalry_01_idle.glb,78.5,0,0,0,0,0,0,0,,,,3.333,46
animations,dwarf,cavalry,run,,loop,cavalry_03_run,/models/gltf/animations/dwarf/cavalry_03_run.glb,44.1,0,0,0,0,0,0,0,,,,0.792,56
animations,dwarf,cavalry,death,B,once,cavalry_10_death_B,/models/gltf/animations/dwarf/cavalry_10_death_B.glb,70.4,0,0,0,0,0,0,0,,,,2,59
animations,dwarf,generic,run,,loop,run,/models/gltf/animations/dwarf/run.glb,20.4,0,0,0,0,0,0,0,,,,1,21
animations,dwarf,worker,run,,loop,run_Reverse,/models/gltf/animations/dwarf/run_Reverse.glb,20.4,0,0,0,0,0,0,0,,,,1,21
animations,dwarf,worker,run,,loop,run_diagonal,/models/gltf/animations/dwarf/run_diagonal.glb,20.4,0,0,0,0,0,0,0,,,,1,21
animations,dwarf,worker,run,,loop,run_diagonal_1,/models/gltf/animations/dwarf/run_diagonal_1.glb,20.4,0,0,0,0,0,0,0,,,,1,21
animations,dwarf,worker,attack,,once,worker_07_attack,/models/gltf/animations/dwarf/worker_07_attack.glb,24.3,0,0,0,0,0,0,0,,,,1.333,23
animations,dwarf,worker,death,B,once,worker_10_death_B,/models/gltf/animations/dwarf/worker_10_death_B.glb,28,0,0,0,0,0,0,0,,,,1.667,24
animations,elf,boltthrower,idle,,loop,boltthrower_01_idle,/models/gltf/animations/elf/boltthrower_01_idle.glb,3.9,0,0,0,0,0,0,0,,,,,
animations,elf,boltthrower,move,,loop,boltthrower_02_move,/models/gltf/animations/elf/boltthrower_02_move.glb,12.7,0,0,0,0,0,0,0,,,,1.667,10
animations,elf,boltthrower,attack,,once,boltthrower_03_attack,/models/gltf/animations/elf/boltthrower_03_attack.glb,15.1,0,0,0,0,0,0,0,,,,1.333,15
animations,elf,boltthrower,death,,once,boltthrower_04_death,/models/gltf/animations/elf/boltthrower_04_death.glb,19.4,0,0,0,0,0,0,0,,,,1,25
animations,elf,cavalry_mage,attack,B,once,cavalry_mage_08_attack_B,/models/gltf/animations/elf/cavalry_mage_08_attack_B.glb,60.8,0,0,0,0,0,0,0,,,,1.333,65
animations,elf,cavalry_spear,charge,,loop,cavalry_spear_04_charge,/models/gltf/animations/elf/cavalry_spear_04_charge.glb,47.8,0,0,0,0,0,0,0,,,,0.792,63
animations,elf,cavalry_spear,combat_idle,,loop,cavalry_spear_05_combat_idle,/models/gltf/animations/elf/cavalry_spear_05_combat_idle.glb,60.4,0,0,0,0,0,0,0,,,,2,49
animations,elf,cavalry_spear,attack,,once,cavalry_spear_07_attack,/models/gltf/animations/elf/cavalry_spear_07_attack.glb,58.6,0,0,0,0,0,0,0,,,,1.333,62
animations,elf,cavalry_spear,death,A,once,cavalry_spear_10_death_A,/models/gltf/animations/elf/cavalry_spear_10_death_A.glb,74.8,0,0,0,0,0,0,0,,,,2,64
animations,human,catapult,idle,,loop,catapult_01_idle,/models/gltf/animations/human/catapult_01_idle.glb,4,0,0,0,0,0,0,0,,,,1,1
animations,human,catapult,move,,loop,catapult_02_move,/models/gltf/animations/human/catapult_02_move.glb,9.5,0,0,0,0,0,0,0,,,,1.667,7
animations,human,catapult,attack,,once,catapult_03_attack,/models/gltf/animations/human/catapult_03_attack.glb,16.7,0,0,0,0,0,0,0,,,,1.667,16
animations,human,catapult,death,,once,catapult_04_death,/models/gltf/animations/human/catapult_04_death.glb,13.6,0,0,0,0,0,0,0,,,,0.667,21
animations,human,cavalry,idle,,loop,cavalry_01_idle,/models/gltf/animations/human/cavalry_01_idle.glb,88.6,0,0,0,0,0,0,0,,,,3.333,54
animations,human,cavalry,run,,loop,cavalry_03_run,/models/gltf/animations/human/cavalry_03_run.glb,46.8,0,0,0,0,0,0,0,,,,0.792,61
animations,human,cavalry,death,B,once,cavalry_10_death_B,/models/gltf/animations/human/cavalry_10_death_B.glb,73.2,0,0,0,0,0,0,0,,,,2,62
animations,orc,catapult,idle,,loop,catapult_01_idle,/models/gltf/animations/orc/catapult_01_idle.glb,4,0,0,0,0,0,0,0,,,,1,1
animations,orc,catapult,move,,loop,catapult_02_move,/models/gltf/animations/orc/catapult_02_move.glb,9.5,0,0,0,0,0,0,0,,,,1.667,7
animations,orc,catapult,attack,,once,catapult_03_attack,/models/gltf/animations/orc/catapult_03_attack.glb,16.7,0,0,0,0,0,0,0,,,,1.667,16
animations,orc,catapult,death,,once,catapult_04_death,/models/gltf/animations/orc/catapult_04_death.glb,13.6,0,0,0,0,0,0,0,,,,0.667,21
animations,orc,cavalry,idle,,loop,cavalry_01_idle,/models/gltf/animations/orc/cavalry_01_idle.glb,78,0,0,0,0,0,0,0,,,,3.333,46
animations,orc,cavalry,run,,loop,cavalry_03_run,/models/gltf/animations/orc/cavalry_03_run.glb,42,0,0,0,0,0,0,0,,,,0.833,52
