Race,File,PartName,Slot,SubType,Variant,Tier,Hand,PrimaryBone,WidthCm,HeightCm,DepthCm,CenterY,Vertices,PolyIndices
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_Horse,Creature,horse,,,,Bip001 Head,26.38,85.61,67.16,-7.64,174,794
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_staff_A,Staff,staff,A,light/cloth tier,right,,68.55,7.20,8.73,0.60,21,84
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_Bow,Bow,bow,,,left,,53.74,3.05,12.00,-0.39,23,114
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_staff_C,Staff,staff,C,medium/leather tier,right,,71.28,11.53,17.14,-0.41,134,364
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_staff_B,Staff,staff,B,light/cloth tier,right,,72.32,7.90,14.78,0.36,29,126
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_Shield_A,Shield,shield,A,light/cloth tier,left,,5.46,21.02,21.43,-1.32,17,86
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_Shield_C,Shield,shield,C,medium/leather tier,left,,4.80,35.18,19.68,-0.43,25,102
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_Shield_D,Shield,shield,D,medium/leather tier,left,,5.29,28.36,26.97,-1.39,27,110
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_Shield_B,Shield,shield,B,light/cloth tier,left,,5.41,28.36,26.97,-1.21,27,110
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_sword_A,Sword,sword,A,light/cloth tier,right,,45.24,3.75,9.64,-0.03,17,70
Barbarian,Barbarians/models/BRB_Cavalry_customizable.FBX,BRB_weapon_spear,Spear,spear,,,right,,76.86,2.80,6.64,-0.10,21,86
