Race,FileCategory,File,PartType,PartName,Group,Slot,Subtype,Variant,Description,Vertices,PolyIndices
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 Pelvis,Skeleton,Bone,,,Skeleton bone (Bip001 Pelvis),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 Spine,Skeleton,Bone,,,Skeleton bone (Bip001 Spine),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 Neck,Skeleton,Bone,,,Skeleton bone (Bip001 Neck),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 Head,Skeleton,Bone,,,Skeleton bone (Bip001 Head),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 L Clavicle,Skeleton,Bone,,,Skeleton bone (Bip001 L Clavicle),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 L UpperArm,Skeleton,Bone,,,Skeleton bone (Bip001 L UpperArm),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 L Forearm,Skeleton,Bone,,,Skeleton bone (Bip001 L Forearm),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 L Hand,Skeleton,Bone,,,Skeleton bone (Bip001 L Hand),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 R Clavicle,Skeleton,Bone,,,Skeleton bone (Bip001 R Clavicle),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 R UpperArm,Skeleton,Bone,,,Skeleton bone (Bip001 R UpperArm),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 R Forearm,Skeleton,Bone,,,Skeleton bone (Bip001 R Forearm),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 R Hand,Skeleton,Bone,,,Skeleton bone (Bip001 R Hand),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 L Thigh,Skeleton,Bone,,,Skeleton bone (Bip001 L Thigh),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 L Calf,Skeleton,Bone,,,Skeleton bone (Bip001 L Calf),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 L Foot,Skeleton,Bone,,,Skeleton bone (Bip001 L Foot),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 L Toe0,Skeleton,Bone,,,Skeleton bone (Bip001 L Toe0),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 R Thigh,Skeleton,Bone,,,Skeleton bone (Bip001 R Thigh),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 R Calf,Skeleton,Bone,,,Skeleton bone (Bip001 R Calf),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 R Foot,Skeleton,Bone,,,Skeleton bone (Bip001 R Foot),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,bone,Bip001 R Toe0,Skeleton,Bone,,,Skeleton bone (Bip001 R Toe0),,
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,anim_stack,Take 001,anim_stack,,,,Take 001,,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 Pelvis,Skeleton,Bone,,,Skeleton bone (Bip001 Pelvis),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 Spine,Skeleton,Bone,,,Skeleton bone (Bip001 Spine),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 Neck,Skeleton,Bone,,,Skeleton bone (Bip001 Neck),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 Head,Skeleton,Bone,,,Skeleton bone (Bip001 Head),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 L Clavicle,Skeleton,Bone,,,Skeleton bone (Bip001 L Clavicle),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 L UpperArm,Skeleton,Bone,,,Skeleton bone (Bip001 L UpperArm),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 L Forearm,Skeleton,Bone,,,Skeleton bone (Bip001 L Forearm),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 L Hand,Skeleton,Bone,,,Skeleton bone (Bip001 L Hand),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 R Clavicle,Skeleton,Bone,,,Skeleton bone (Bip001 R Clavicle),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 R UpperArm,Skeleton,Bone,,,Skeleton bone (Bip001 R UpperArm),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 R Forearm,Skeleton,Bone,,,Skeleton bone (Bip001 R Forearm),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 R Hand,Skeleton,Bone,,,Skeleton bone (Bip001 R Hand),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 L Thigh,Skeleton,Bone,,,Skeleton bone (Bip001 L Thigh),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 L Calf,Skeleton,Bone,,,Skeleton bone (Bip001 L Calf),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 L Foot,Skeleton,Bone,,,Skeleton bone (Bip001 L Foot),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 L Toe0,Skeleton,Bone,,,Skeleton bone (Bip001 L Toe0),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 R Thigh,Skeleton,Bone,,,Skeleton bone (Bip001 R Thigh),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 R Calf,Skeleton,Bone,,,Skeleton bone (Bip001 R Calf),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 R Foot,Skeleton,Bone,,,Skeleton bone (Bip001 R Foot),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,bone,Bip001 R Toe0,Skeleton,Bone,,,Skeleton bone (Bip001 R Toe0),,
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,anim_stack,Take 001,anim_stack,,,,Take 001,,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_Horse,Mount,Creature,horse,,Mount creature: horse,,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_staff_A,Equipment,Weapon,staff,A,Staff (caster) variant A (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_Bow,Equipment,Weapon,bow,,Bow (ranged) variant - (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_staff_C,Equipment,Weapon,staff,C,Staff (caster) variant C (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_weapon_staff_B,Equipment,Weapon,staff,B,Staff (caster) variant B (right-hand weapon mesh),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_Shield_A,Equipment,Shield,shield,A,Shield variant A (off-hand),,
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,mesh_part,BRB_Shield_C,Equipment,Shield,shield,C,Shield variant C (off-hand),,
