Race,Category,File,MeshParts,Geometries,TotalVerts,Bones,NullNodes,Materials,Textures,AnimStacks,Deformers
Barbarian,animation,Barbarians/animation/Mage/BRB_mage_11_cast_B.FBX,0,0,0,20,0,0,0,1,0
Barbarian,animation,Barbarians/animation/Spearman/BRB_spearman_07_attack.FBX,0,0,0,20,0,0,0,1,0
Barbarian,cavalry-character,Barbarians/models/BRB_Cavalry_customizable.FBX,47,47,2713,58,2,1,1,1,233
Barbarian,character,Barbarians/models/BRB_Characters_customizable.FBX,47,47,2583,29,1,1,1,1,207
Barbarian,extra,Barbarians/models/extra_models/BRB_bag.FBX,1,1,33,0,0,1,1,0,0
Barbarian,equipment,Barbarians/models/extra_models/Equipment/BRB_weapon_hammer_B.FBX,1,1,23,7,0,1,1,0,0
Barbarian,equipment,Barbarians/models/extra_models/Equipment/BRB_weapon_spear.FBX,1,1,21,7,0,1,1,0,0
Barbarian,equipment,Barbarians/models/extra_models/Equipment/BRB_weapon_staff_B.FBX,1,1,29,7,0,1,1,0,0
Barbarian,equipment,Barbarians/models/extra_models/Equipment/BRB_weapon_sword_B.FBX,1,1,26,7,0,1,1,0,0
Dwarf,animation,Dwarves/animation/Cavalry/DWF_cavalry_01_idle.FBX,0,0,0,44,0,0,0,1,0
Dwarf,animation,Dwarves/animation/Cavalry/DWF_cavalry_03_run.FBX,0,0,0,44,0,0,0,1,0
Dwarf,animation,Dwarves/animation/Cavalry/DWF_cavalry_10_death_B.FBX,0,0,0,44,0,0,0,1,0
Dwarf,animation,Dwarves/animation/Worker/DWF_worker_07_attack.FBX,0,0,0,22,0,0,0,1,0
Dwarf,animation,Dwarves/animation/Worker/DWF_worker_10_death_B.FBX,0,0,0,22,0,0,0,1,0
Dwarf,animation,Dwarves/animation/Worker/_idle.FBX,0,0,0,22,0,0,0,1,0
Dwarf,animation,Dwarves/animation/Worker/run Reverse.FBX,0,0,0,22,0,0,0,1,0
Dwarf,animation,Dwarves/animation/Worker/run diagonal 1.FBX,0,0,0,22,0,0,0,1,0
Dwarf,animation,Dwarves/animation/Worker/run diagonal.FBX,0,0,0,22,0,0,0,1,0
Dwarf,animation,Dwarves/animation/Worker/run.FBX,0,0,0,22,0,0,0,1,0
Dwarf,cavalry-character,Dwarves/models/DWF_Cavalry_customizable.FBX,47,47,2613,59,2,1,1,1,228
Dwarf,character,Dwarves/models/DWF_Characters_customizable.FBX,48,48,2490,29,1,1,1,1,206
Elf,animation,Elves/animation/BoltThrower/ELF_boltthrower_01_idle.FBX,0,0,0,15,0,0,0,1,0
Elf,animation,Elves/animation/BoltThrower/ELF_boltthrower_02_move.FBX,0,0,0,15,0,0,0,1,0
Elf,animation,Elves/animation/BoltThrower/ELF_boltthrower_03_attack.FBX,0,0,0,15,0,0,0,1,0
Elf,animation,Elves/animation/BoltThrower/ELF_boltthrower_04_death.FBX,0,0,0,15,0,0,0,1,0
Elf,animation,Elves/animation/Cavalry_Mage/ELF_cavalry_mage_08_attack_B.FBX,0,0,0,45,0,0,0,1,0
Elf,animation,Elves/animation/Cavalry_Spear/ELF_cavalry_spear_04_charge.FBX,0,0,0,45,0,0,0,1,0
Elf,animation,Elves/animation/Cavalry_Spear/ELF_cavalry_spear_05_combat_idle.FBX,0,0,0,45,0,0,0,1,0
Elf,animation,Elves/animation/Cavalry_Spear/ELF_cavalry_spear_07_attack.FBX,0,0,0,45,0,0,0,1,0
Elf,animation,Elves/animation/Cavalry_Spear/ELF_cavalry_spear_10_death_A.FBX,0,0,0,45,0,0,0,1,0
Elf,siege,Elves/models/ELF_BoltThrower.FBX,1,1,354,15,0,1,1,1,15
Elf,cavalry-character,Elves/models/ELF_Cavalry_customizable.FBX,48,48,3365,60,2,1,1,1,217
Elf,character,Elves/models/ELF_Characters_customizable.FBX,47,47,3190,29,1,1,1,1,191
Elf,extra,Elves/models/extra_models/ELF_bolt.FBX,1,1,54,0,0,1,1,1,0
Elf,equipment,Elves/models/extra_models/equipment/ELF_weapon_spear.FBX,1,1,21,0,0,1,1,0,0
Elf,equipment,Elves/models/extra_models/equipment/ELF_weapon_staff_C.FBX,1,1,63,0,0,1,1,0,0
Orc,animation,Orcs/animation/Catapult/ORC_catapult_01_idle.FBX,0,0,0,11,0,0,0,1,0
Orc,animation,Orcs/animation/Catapult/ORC_catapult_02_move.FBX,0,0,0,11,0,0,0,1,0
